code_family,outfield
PTHEFPIBSOH,Persistence > T1574 > Hijack Execution Flow: Path Interception by Search Order Hijacking — Adversaries may execute their own malicious payloads by hijacking the search order used to load other programs.
PETHEFPIBSOH,Privilege Escalation > T1574 > Hijack Execution Flow: Path Interception by Search Order Hijacking — Adversaries may execute their own malicious payloads by hijacking the search order used to load other programs.
DETHEFPIBUP,Defense Evasion > T1574 > Hijack Execution Flow: Path Interception by Unquoted Path — Adversaries may execute their own malicious payloads by hijacking vulnerable file path references.
PTHEFPIBUP,Persistence > T1574 > Hijack Execution Flow: Path Interception by Unquoted Path — Adversaries may execute their own malicious payloads by hijacking vulnerable file path references.
PETHEFPIBUP,Privilege Escalation > T1574 > Hijack Execution Flow: Path Interception by Unquoted Path — Adversaries may execute their own malicious payloads by hijacking vulnerable file path references.
DETHEFSFPW,Defense Evasion > T1574 > Hijack Execution Flow: Services File Permissions Weakness — Adversaries may execute their own malicious payloads by hijacking the binaries used by services.
PTHEFSFPW,Persistence > T1574 > Hijack Execution Flow: Services File Permissions Weakness — Adversaries may execute their own malicious payloads by hijacking the binaries used by services.
PETHEFSFPW,Privilege Escalation > T1574 > Hijack Execution Flow: Services File Permissions Weakness — Adversaries may execute their own malicious payloads by hijacking the binaries used by services.
DETHEFSRPW,Defense Evasion > T1574 > Hijack Execution Flow: Services Registry Permissions Weakness — Adversaries may execute their own malicious payloads by hijacking the Registry entries used by services.
PTHEFSRPW,Persistence > T1574 > Hijack Execution Flow: Services Registry Permissions Weakness — Adversaries may execute their own malicious payloads by hijacking the Registry entries used by services.
PETHEFSRPW,Privilege Escalation > T1574 > Hijack Execution Flow: Services Registry Permissions Weakness — Adversaries may execute their own malicious payloads by hijacking the Registry entries used by services.
DETIDDWEL,Defense Evasion > T1562 > Impair Defenses: Disable Windows Event Logging — Adversaries may disable Windows event logging to limit data that can be leveraged for detections and audits.
DETIDDOMCF,Defense Evasion > T1562 > Impair Defenses: Disable or Modify Cloud Firewall — Adversaries may disable or modify a firewall within a cloud environment to bypass controls that limit access to cloud resources.
DETIDDOMCL,Defense Evasion > T1562 > Impair Defenses: Disable or Modify Cloud Logs — An adversary may disable or modify cloud logging capabilities and integrations to limit what data is collected on their activities and avoid detection.
DETIDDOMLAS,Defense Evasion > T1562 > Impair Defenses: Disable or Modify Linux Audit System — Adversaries may disable or modify the Linux audit system to hide malicious activity and avoid detection.
DETIDDOMSF,Defense Evasion > T1562 > Impair Defenses: Disable or Modify System Firewall — Adversaries may disable or modify system firewalls in order to bypass controls limiting network usage.
DETIDDOMT,Defense Evasion > T1562 > Impair Defenses: Disable or Modify Tools — Adversaries may modify and/or disable security tools to avoid possible detection of their malware/tools and activities.
DETIDDA,"Defense Evasion > T1562 > Impair Defenses: Downgrade Attack — Adversaries may downgrade or use a version of system features that may be outdated, vulnerable, and/or does not support updated security controls."
DETIDICHL,Defense Evasion > T1562 > Impair Defenses: Impair Command History Logging — Adversaries may impair command history logging to hide commands they run on a compromised system.
DETIDIB,Defense Evasion > T1562 > Impair Defenses: Indicator Blocking — An adversary may attempt to block indicators or events typically captured by sensors from being gathered and analyzed.
DETIDSMB,Defense Evasion > T1562 > Impair Defenses: Safe Mode Boot — Adversaries may abuse Windows safe mode to disable endpoint defenses.
DETIDSSA,"Defense Evasion > T1562 > Impair Defenses: Spoof Security Alerting — Adversaries may spoof security alerting from tools, presenting false evidence to impair defenders’ awareness of malicious activity."
DETIRCCH,"Defense Evasion > T1070 > Indicator Removal: Clear Command History — In addition to clearing system logs, an adversary may clear the command history of a compromised account to conceal the actions undertaken during an intrusion."
DETIRCLOMSL,Defense Evasion > T1070 > Indicator Removal: Clear Linux or Mac System Logs — Adversaries may clear system logs to hide evidence of an intrusion.
DETIRCMD,Defense Evasion > T1070 > Indicator Removal: Clear Mailbox Data — Adversaries may modify mail and mail application data to remove evidence of their activity.
DETIRCNCHAC,Defense Evasion > T1070 > Indicator Removal: Clear Network Connection History and Configurations — Adversaries may clear or remove evidence of malicious network connections in order to clean up traces of their operations.
DETIRCP,Defense Evasion > T1070 > Indicator Removal: Clear Persistence — Adversaries may clear artifacts associated with previously established persistence on a host system to remove evidence of their activity.
DETIRCWEL,Defense Evasion > T1070 > Indicator Removal: Clear Windows Event Logs — Adversaries may clear Windows Event Logs to hide the activity of an intrusion.
DETIRFD,Defense Evasion > T1070 > Indicator Removal: File Deletion — Adversaries may delete files left behind by the actions of their intrusion activity.
DETIRNSCR,Defense Evasion > T1070 > Indicator Removal: Network Share Connection Removal — Adversaries may remove share connections that are no longer useful in order to clean up traces of their operation.
DETIRRM,"Defense Evasion > T1070 > Indicator Removal: Relocate Malware — Once a payload is delivered, adversaries may reproduce copies of the same malware on the victim system to remove evidence of their presence and/or avoid defenses."
DETIRT,Defense Evasion > T1070 > Indicator Removal: Timestomp — Adversaries may modify file time attributes to hide new files or changes to existing files.
CTICCAH,Collection > T1056 > Input Capture: Credential API Hooking — Adversaries may hook into Windows application programming interface (API) functions and Linux system functions to collect user credentials.
CATICCAH,Credential Access > T1056 > Input Capture: Credential API Hooking — Adversaries may hook into Windows application programming interface (API) functions and Linux system functions to collect user credentials.
CTICGIC,Collection > T1056 > Input Capture: GUI Input Capture — Adversaries may mimic common operating system GUI components to prompt users for credentials with a seemingly legitimate prompt.
CATICGIC,Credential Access > T1056 > Input Capture: GUI Input Capture — Adversaries may mimic common operating system GUI components to prompt users for credentials with a seemingly legitimate prompt.
CTICK,Collection > T1056 > Input Capture: Keylogging — Adversaries may log user keystrokes to intercept credentials as the user types them.
CATICK,Credential Access > T1056 > Input Capture: Keylogging — Adversaries may log user keystrokes to intercept credentials as the user types them.
CTICWPC,"Collection > T1056 > Input Capture: Web Portal Capture — Adversaries may install code on externally facing portals, such as a VPN login page, to capture and transmit credentials of users who attempt to log into the service."
CATICWPC,"Credential Access > T1056 > Input Capture: Web Portal Capture — Adversaries may install code on externally facing portals, such as a VPN login page, to capture and transmit credentials of users who attempt to log into the service."
ETIPCCOM,Execution > T1559 > Inter-Process Communication: Component Object Model — Adversaries may use the Windows Component Object Model (COM) for local code execution.
ETIPCDDE,Execution > T1559 > Inter-Process Communication: Dynamic Data Exchange — Adversaries may use Windows Dynamic Data Exchange (DDE) to execute arbitrary commands.
ETIPCXS,Execution > T1559 > Inter-Process Communication: XPC Services — Adversaries can provide malicious content to an XPC service daemon for local code execution.
DETMBPT,Defense Evasion > T1036 > Masquerading: Break Process Trees — An adversary may attempt to evade process tree-based analysis by modifying executed malware's parent process ID (PPID).
DETMDFE,Defense Evasion > T1036 > Masquerading: Double File Extension — Adversaries may abuse a double extension in the filename as a means of masquerading the true file type.
DETMICS,"Defense Evasion > T1036 > Masquerading: Invalid Code Signature — Adversaries may attempt to mimic features of valid code signatures to increase the chance of deceiving a user, analyst, or tool."
DETMMAN,Defense Evasion > T1036 > Masquerading: Masquerade Account Name — Adversaries may match or approximate the names of legitimate accounts to make newly created ones appear benign.
DETMMFT,"Defense Evasion > T1036 > Masquerading: Masquerade File Type — Adversaries may masquerade malicious payloads as legitimate files through changes to the payload's formatting, including the file’s signature, extension, icon, and contents."
DETMMTOS,Defense Evasion > T1036 > Masquerading: Masquerade Task or Service — Adversaries may attempt to manipulate the name of a task or service to make it appear legitimate or benign.
DETMMLRNOL,"Defense Evasion > T1036 > Masquerading: Match Legitimate Resource Name or Location — Adversaries may match or approximate the name or location of legitimate files, Registry keys, or other resources when naming/placing them."
DETMOPA,Defense Evasion > T1036 > Masquerading: Overwrite Process Arguments — Adversaries may modify a process's in-memory arguments to change its name in order to appear as a legitimate or benign process.
DETMRLU,Defense Evasion > T1036 > Masquerading: Rename Legitimate Utilities — Adversaries may rename legitimate / system utilities to try to evade security mechanisms concerning the usage of those utilities.
DETMRTLO,Defense Evasion > T1036 > Masquerading: Right-to-Left Override — Adversaries may abuse the right-to-left override (RTLO or RLO) character (U+202E) to disguise a string and/or file name to make it appear benign.
DETMSAF,Defense Evasion > T1036 > Masquerading: Space after Filename — Adversaries can hide a program's true filetype by changing the extension of a file.
CATMAPCAP,Credential Access > T1556 > Modify Authentication Process: Conditional Access Policies — Adversaries may disable or modify conditional access policies to enable persistent access to compromised accounts.
DETMAPCAP,Defense Evasion > T1556 > Modify Authentication Process: Conditional Access Policies — Adversaries may disable or modify conditional access policies to enable persistent access to compromised accounts.
PTMAPCAP,Persistence > T1556 > Modify Authentication Process: Conditional Access Policies — Adversaries may disable or modify conditional access policies to enable persistent access to compromised accounts.
CATMAPDCA,Credential Access > T1556 > Modify Authentication Process: Domain Controller Authentication — Adversaries may patch the authentication process on a domain controller to bypass the typical authentication mechanisms and enable access to accounts.
DETMAPDCA,Defense Evasion > T1556 > Modify Authentication Process: Domain Controller Authentication — Adversaries may patch the authentication process on a domain controller to bypass the typical authentication mechanisms and enable access to accounts.
PTMAPDCA,Persistence > T1556 > Modify Authentication Process: Domain Controller Authentication — Adversaries may patch the authentication process on a domain controller to bypass the typical authentication mechanisms and enable access to accounts.
CATMAPHI,"Credential Access > T1556 > Modify Authentication Process: Hybrid Identity — Adversaries may patch, modify, or otherwise backdoor cloud authentication processes that are tied to on-premises user identities in order to bypass typical authentication mechanisms, access credentials, and enable persistent access to accounts."
DETMAPHI,"Defense Evasion > T1556 > Modify Authentication Process: Hybrid Identity — Adversaries may patch, modify, or otherwise backdoor cloud authentication processes that are tied to on-premises user identities in order to bypass typical authentication mechanisms, access credentials, and enable persistent access to accounts."
PTMAPHI,"Persistence > T1556 > Modify Authentication Process: Hybrid Identity — Adversaries may patch, modify, or otherwise backdoor cloud authentication processes that are tied to on-premises user identities in order to bypass typical authentication mechanisms, access credentials, and enable persistent access to accounts."
CATMAPMFA,Credential Access > T1556 > Modify Authentication Process: Multi-Factor Authentication — Adversaries may disable or modify multi-factor authentication (MFA) mechanisms to enable persistent access to compromised accounts.
DETMAPMFA,Defense Evasion > T1556 > Modify Authentication Process: Multi-Factor Authentication — Adversaries may disable or modify multi-factor authentication (MFA) mechanisms to enable persistent access to compromised accounts.
PTMAPMFA,Persistence > T1556 > Modify Authentication Process: Multi-Factor Authentication — Adversaries may disable or modify multi-factor authentication (MFA) mechanisms to enable persistent access to compromised accounts.
CATMAPNDA,Credential Access > T1556 > Modify Authentication Process: Network Device Authentication — Adversaries may use [Patch System Image](https:
DETMAPNDA,Defense Evasion > T1556 > Modify Authentication Process: Network Device Authentication — Adversaries may use [Patch System Image](https:
PTMAPNDA,Persistence > T1556 > Modify Authentication Process: Network Device Authentication — Adversaries may use [Patch System Image](https:
CATMAPNPD,Credential Access > T1556 > Modify Authentication Process: Network Provider DLL — Adversaries may register malicious network provider dynamic link libraries (DLLs) to capture cleartext user credentials during the authentication process.
DETMAPNPD,Defense Evasion > T1556 > Modify Authentication Process: Network Provider DLL — Adversaries may register malicious network provider dynamic link libraries (DLLs) to capture cleartext user credentials during the authentication process.
PTMAPNPD,Persistence > T1556 > Modify Authentication Process: Network Provider DLL — Adversaries may register malicious network provider dynamic link libraries (DLLs) to capture cleartext user credentials during the authentication process.
CATMAPPFD,Credential Access > T1556 > Modify Authentication Process: Password Filter DLL — Adversaries may register malicious password filter dynamic link libraries (DLLs) into the authentication process to acquire user credentials as they are validated.
DETMAPPFD,Defense Evasion > T1556 > Modify Authentication Process: Password Filter DLL — Adversaries may register malicious password filter dynamic link libraries (DLLs) into the authentication process to acquire user credentials as they are validated.
PTMAPPFD,Persistence > T1556 > Modify Authentication Process: Password Filter DLL — Adversaries may register malicious password filter dynamic link libraries (DLLs) into the authentication process to acquire user credentials as they are validated.
CATMAPPAM,Credential Access > T1556 > Modify Authentication Process: Pluggable Authentication Modules — Adversaries may modify pluggable authentication modules (PAM) to access user credentials or enable otherwise unwarranted access to accounts.
DETMAPPAM,Defense Evasion > T1556 > Modify Authentication Process: Pluggable Authentication Modules — Adversaries may modify pluggable authentication modules (PAM) to access user credentials or enable otherwise unwarranted access to accounts.
PTMAPPAM,Persistence > T1556 > Modify Authentication Process: Pluggable Authentication Modules — Adversaries may modify pluggable authentication modules (PAM) to access user credentials or enable otherwise unwarranted access to accounts.
CATMAPRE,Credential Access > T1556 > Modify Authentication Process: Reversible Encryption — An adversary may abuse Active Directory authentication encryption properties to gain access to credentials on Windows systems.
DETMAPRE,Defense Evasion > T1556 > Modify Authentication Process: Reversible Encryption — An adversary may abuse Active Directory authentication encryption properties to gain access to credentials on Windows systems.
PTMAPRE,Persistence > T1556 > Modify Authentication Process: Reversible Encryption — An adversary may abuse Active Directory authentication encryption properties to gain access to credentials on Windows systems.
DETMCCICCI,Defense Evasion > T1578 > Modify Cloud Compute Infrastructure: Create Cloud Instance — An adversary may create a new instance or virtual machine (VM) within the compute service of a cloud account to evade defenses.
DETMCCICS,Defense Evasion > T1578 > Modify Cloud Compute Infrastructure: Create Snapshot — An adversary may create a snapshot or data backup within a cloud account to evade defenses.
DETMCCIDCI,Defense Evasion > T1578 > Modify Cloud Compute Infrastructure: Delete Cloud Instance — An adversary may delete a cloud instance after they have performed malicious activities in an attempt to evade detection and remove evidence of their presence.
DETMCCIMCCC,"Defense Evasion > T1578 > Modify Cloud Compute Infrastructure: Modify Cloud Compute Configurations — Adversaries may modify settings that directly affect the size, locations, and resources available to cloud compute infrastructure in order to evade defenses."
DETMCCIRCI,Defense Evasion > T1578 > Modify Cloud Compute Infrastructure: Revert Cloud Instance — An adversary may revert changes made to a cloud instance after they have performed malicious activities in attempt to evade detection and remove evidence of their presence.
DETMSIDSI,Defense Evasion > T1601 > Modify System Image: Downgrade System Image — Adversaries may install an older version of the operating system of a network device to weaken security.
DETMSIPSI,Defense Evasion > T1601 > Modify System Image: Patch System Image — Adversaries may modify the operating system of a network device to introduce new capabilities or weaken existing defenses.
DETNBBNATT,Defense Evasion > T1599 > Network Boundary Bridging: Network Address Translation Traversal — Adversaries may bridge network boundaries by modifying a network device’s Network Address Translation (NAT) configuration.
ITNDOSDNF,Impact > T1498 > Network Denial of Service: Direct Network Flood — Adversaries may attempt to cause a denial of service (DoS) by directly sending a high-volume of network traffic to a target.
ITNDOSRA,Impact > T1498 > Network Denial of Service: Reflection Amplification — Adversaries may attempt to cause a denial of service (DoS) by reflecting a high-volume of network traffic to a target.
CATOCDEPAES,Credential Access > T1003 > OS Credential Dumping: /etc/passwd and /etc/shadow — Adversaries may attempt to dump the contents of <code>/etc/passwd</code> and <code>/etc/shadow</code> to enable offline password cracking.
CATOCDCDC,Credential Access > T1003 > OS Credential Dumping: Cached Domain Credentials — Adversaries may attempt to access cached domain credentials used to allow authentication to occur in the event a domain controller is unavailable.
CATOCDD,Credential Access > T1003 > OS Credential Dumping: DCSync — Adversaries may attempt to access credentials and other sensitive information by abusing a Windows Domain Controller's application programming interface (API)(Citation:
CATOCDLS,"Credential Access > T1003 > OS Credential Dumping: LSA Secrets — Adversaries with SYSTEM access to a host may attempt to access Local Security Authority (LSA) secrets, which can contain a variety of different credential materials, such as credentials for service accounts."
CATOCDLM,Credential Access > T1003 > OS Credential Dumping: LSASS Memory — Adversaries may attempt to access credential material stored in the process memory of the Local Security Authority Subsystem Service (LSASS).
CATOCDN,"Credential Access > T1003 > OS Credential Dumping: NTDS — Adversaries may attempt to access or create a copy of the Active Directory domain database in order to steal credential information, as well as obtain other information about domain members such as devices, users, and access rights."
CATOCDPF,Credential Access > T1003 > OS Credential Dumping: Proc Filesystem — Adversaries may gather credentials from the proc filesystem or `/proc`.
CATOCDSAM,Credential Access > T1003 > OS Credential Dumping: Security Account Manager — Adversaries may attempt to extract credential material from the Security Account Manager (SAM) database either through in-memory techniques or through the Windows Registry where the SAM database is stored.
DETOFOIBP,Defense Evasion > T1027 > Obfuscated Files or Information: Binary Padding — Adversaries may use binary padding to add junk data and change the on-disk representation of malware.
DETOFOICO,Defense Evasion > T1027 > Obfuscated Files or Information: Command Obfuscation — Adversaries may obfuscate content during command execution to impede detection.
DETOFOICAD,Defense Evasion > T1027 > Obfuscated Files or Information: Compile After Delivery — Adversaries may attempt to make payloads difficult to discover and analyze by delivering files to victims as uncompiled code.
DETOFOIC,Defense Evasion > T1027 > Obfuscated Files or Information: Compression — Adversaries may use compression to obfuscate their payloads or files.
DETOFOIDAR,Defense Evasion > T1027 > Obfuscated Files or Information: Dynamic API Resolution — Adversaries may obfuscate then dynamically resolve API functions called by their malware in order to conceal malicious functionalities and impair defensive analysis.
DETOFOIEP,Defense Evasion > T1027 > Obfuscated Files or Information: Embedded Payloads — Adversaries may embed payloads within other files to conceal malicious content from defenses.
DETOFOIEEF,"Defense Evasion > T1027 > Obfuscated Files or Information: Encrypted/Encoded File — Adversaries may encrypt or encode files to obfuscate strings, bytes, and other specific patterns to impede detection."
DETOFOIFS,"Defense Evasion > T1027 > Obfuscated Files or Information: Fileless Storage — Adversaries may store data in ""fileless"" formats to conceal malicious activity from defenses."
DETOFOIHS,Defense Evasion > T1027 > Obfuscated Files or Information: HTML Smuggling — Adversaries may smuggle data and files past content filters by hiding malicious payloads inside of seemingly benign HTML files.
DETOFOIIRFT,"Defense Evasion > T1027 > Obfuscated Files or Information: Indicator Removal from Tools — Adversaries may remove indicators from tools if they believe their malicious tool was detected, quarantined, or otherwise curtailed."
DETOFOIJCI,Defense Evasion > T1027 > Obfuscated Files or Information: Junk Code Insertion — Adversaries may use junk code / dead code to obfuscate a malware’s functionality.
DETOFOILIS,Defense Evasion > T1027 > Obfuscated Files or Information: LNK Icon Smuggling — Adversaries may smuggle commands to download malicious payloads past content filters by hiding them within otherwise seemingly benign windows shortcut files.
DETOFOIPC,Defense Evasion > T1027 > Obfuscated Files or Information: Polymorphic Code — Adversaries may utilize polymorphic code (also known as metamorphic or mutating code) to evade detection.
DETOFOISS,Defense Evasion > T1027 > Obfuscated Files or Information: SVG Smuggling — Adversaries may smuggle data and files past content filters by hiding malicious payloads inside of seemingly benign SVG files.
DETOFOISP,Defense Evasion > T1027 > Obfuscated Files or Information: Software Packing — Adversaries may perform software packing or virtual machine software protection to conceal their code.
DETOFOIS,Defense Evasion > T1027 > Obfuscated Files or Information: Steganography — Adversaries may use steganography techniques in order to prevent the detection of hidden information.
DETOFOISP,"Defense Evasion > T1027 > Obfuscated Files or Information: Stripped Payloads — Adversaries may attempt to make a payload difficult to analyze by removing symbols, strings, and other human readable information."
RDTOCAI,"Resource Development > T1588 > Obtain Capabilities: Artificial Intelligence — Adversaries may obtain access to generative artificial intelligence tools, such as large language models (LLMs), to aid various techniques during targeting."
RDTOCCSC,Resource Development > T1588 > Obtain Capabilities: Code Signing Certificates — Adversaries may buy and/or steal code signing certificates that can be used during targeting.
RDTOCDC,Resource Development > T1588 > Obtain Capabilities: Digital Certificates — Adversaries may buy and/or steal SSL/TLS certificates that can be used during targeting.
RDTOCE,"Resource Development > T1588 > Obtain Capabilities: Exploits — Adversaries may buy, steal, or download exploits that can be used during targeting."
RDTOCM,"Resource Development > T1588 > Obtain Capabilities: Malware — Adversaries may buy, steal, or download malware that can be used during targeting."
RDTOCT,"Resource Development > T1588 > Obtain Capabilities: Tool — Adversaries may buy, steal, or download software tools that can be used during targeting."
RDTOCV,Resource Development > T1588 > Obtain Capabilities: Vulnerabilities — Adversaries may acquire information about vulnerabilities that can be used during targeting.
PTOASAI,Persistence > T1137 > Office Application Startup: Add-ins — Adversaries may abuse Microsoft Office add-ins to obtain persistence on a compromised system.
PTOASOTM,Persistence > T1137 > Office Application Startup: Office Template Macros — Adversaries may abuse Microsoft Office templates to obtain persistence on a compromised system.
PTOASOT,"Persistence > T1137 > Office Application Startup: Office Test — Adversaries may abuse the Microsoft Office ""Office Test"" Registry key to obtain persistence on a compromised system."
PTOASOF,Persistence > T1137 > Office Application Startup: Outlook Forms — Adversaries may abuse Microsoft Outlook forms to obtain persistence on a compromised system.
PTOASOHP,Persistence > T1137 > Office Application Startup: Outlook Home Page — Adversaries may abuse Microsoft Outlook's Home Page feature to obtain persistence on a compromised system.
PTOASOR,Persistence > T1137 > Office Application Startup: Outlook Rules — Adversaries may abuse Microsoft Outlook rules to obtain persistence on a compromised system.
DTPGDCG,Discovery > T1069 > Permission Groups Discovery: Cloud Groups — Adversaries may attempt to find cloud groups and permission settings.
DTPGDDG,Discovery > T1069 > Permission Groups Discovery: Domain Groups — Adversaries may attempt to find domain-level groups and permission settings.
DTPGDLG,Discovery > T1069 > Permission Groups Discovery: Local Groups — Adversaries may attempt to find local system groups and permission settings.
RTPFISA,Reconnaissance > T1598 > Phishing for Information: Spearphishing Attachment — Adversaries may send spearphishing messages with a malicious attachment to elicit sensitive information that can be used during targeting.
RTPFISL,Reconnaissance > T1598 > Phishing for Information: Spearphishing Link — Adversaries may send spearphishing messages with a malicious link to elicit sensitive information that can be used during targeting.
RTPFISS,Reconnaissance > T1598 > Phishing for Information: Spearphishing Service — Adversaries may send spearphishing messages via third-party services to elicit sensitive information that can be used during targeting.
RTPFISV,Reconnaissance > T1598 > Phishing for Information: Spearphishing Voice — Adversaries may use voice communications to elicit sensitive information that can be used during targeting.
IATPSA,Initial Access > T1566 > Phishing: Spearphishing Attachment — Adversaries may send spearphishing emails with a malicious attachment in an attempt to gain access to victim systems.
IATPSL,Initial Access > T1566 > Phishing: Spearphishing Link — Adversaries may send spearphishing emails with a malicious link in an attempt to gain access to victim systems.
IATPSV,Initial Access > T1566 > Phishing: Spearphishing Voice — Adversaries may use voice communications to ultimately gain access to victim systems.
IATPSVS,Initial Access > T1566 > Phishing: Spearphishing via Service — Adversaries may send spearphishing messages via third-party services in an attempt to gain access to victim systems.
DETPOBB,Defense Evasion > T1542 > Pre-OS Boot: Bootkit — Adversaries may use bootkits to persist on systems.
PTPOBB,Persistence > T1542 > Pre-OS Boot: Bootkit — Adversaries may use bootkits to persist on systems.
DETPOBCF,Defense Evasion > T1542 > Pre-OS Boot: Component Firmware — Adversaries may modify component firmware to persist on systems.
PTPOBCF,Persistence > T1542 > Pre-OS Boot: Component Firmware — Adversaries may modify component firmware to persist on systems.
DETPOBR,Defense Evasion > T1542 > Pre-OS Boot: ROMMONkit — Adversaries may abuse the ROM Monitor (ROMMON) by loading an unauthorized firmware with adversary code to provide persistent access and manipulate device behavior that is difficult to detect.
PTPOBR,Persistence > T1542 > Pre-OS Boot: ROMMONkit — Adversaries may abuse the ROM Monitor (ROMMON) by loading an unauthorized firmware with adversary code to provide persistent access and manipulate device behavior that is difficult to detect.
DETPOBSF,Defense Evasion > T1542 > Pre-OS Boot: System Firmware — Adversaries may modify system firmware to persist on systems.
PTPOBSF,Persistence > T1542 > Pre-OS Boot: System Firmware — Adversaries may modify system firmware to persist on systems.
DETPOBTB,Defense Evasion > T1542 > Pre-OS Boot: TFTP Boot — Adversaries may abuse netbooting to load an unauthorized network device operating system from a Trivial File Transfer Protocol (TFTP) server.
PTPOBTB,Persistence > T1542 > Pre-OS Boot: TFTP Boot — Adversaries may abuse netbooting to load an unauthorized network device operating system from a Trivial File Transfer Protocol (TFTP) server.
DETPIAPC,Defense Evasion > T1055 > Process Injection: Asynchronous Procedure Call — Adversaries may inject malicious code into processes via the asynchronous procedure call (APC) queue in order to evade process-based defenses as well as possibly elevate privileges.
PETPIAPC,Privilege Escalation > T1055 > Process Injection: Asynchronous Procedure Call — Adversaries may inject malicious code into processes via the asynchronous procedure call (APC) queue in order to evade process-based defenses as well as possibly elevate privileges.
DETPIDLLI,Defense Evasion > T1055 > Process Injection: Dynamic-link Library Injection — Adversaries may inject dynamic-link libraries (DLLs) into processes in order to evade process-based defenses as well as possibly elevate privileges.
PETPIDLLI,Privilege Escalation > T1055 > Process Injection: Dynamic-link Library Injection — Adversaries may inject dynamic-link libraries (DLLs) into processes in order to evade process-based defenses as well as possibly elevate privileges.
DETPIEWMI,Defense Evasion > T1055 > Process Injection: Extra Window Memory Injection — Adversaries may inject malicious code into process via Extra Window Memory (EWM) in order to evade process-based defenses as well as possibly elevate privileges.
PETPIEWMI,Privilege Escalation > T1055 > Process Injection: Extra Window Memory Injection — Adversaries may inject malicious code into process via Extra Window Memory (EWM) in order to evade process-based defenses as well as possibly elevate privileges.
DETPIL,Defense Evasion > T1055 > Process Injection: ListPlanting — Adversaries may abuse list-view controls to inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges.
PETPIL,Privilege Escalation > T1055 > Process Injection: ListPlanting — Adversaries may abuse list-view controls to inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges.
DETPIPEI,Defense Evasion > T1055 > Process Injection: Portable Executable Injection — Adversaries may inject portable executables (PE) into processes in order to evade process-based defenses as well as possibly elevate privileges.
PETPIPEI,Privilege Escalation > T1055 > Process Injection: Portable Executable Injection — Adversaries may inject portable executables (PE) into processes in order to evade process-based defenses as well as possibly elevate privileges.
DETPIPM,Defense Evasion > T1055 > Process Injection: Proc Memory — Adversaries may inject malicious code into processes via the /proc filesystem in order to evade process-based defenses as well as possibly elevate privileges.
PETPIPM,Privilege Escalation > T1055 > Process Injection: Proc Memory — Adversaries may inject malicious code into processes via the /proc filesystem in order to evade process-based defenses as well as possibly elevate privileges.
DETPIPDN,Defense Evasion > T1055 > Process Injection: Process Doppelgänging — Adversaries may inject malicious code into process via process doppelgänging in order to evade process-based defenses as well as possibly elevate privileges.
PETPIPDN,Privilege Escalation > T1055 > Process Injection: Process Doppelgänging — Adversaries may inject malicious code into process via process doppelgänging in order to evade process-based defenses as well as possibly elevate privileges.
DETPIPH,Defense Evasion > T1055 > Process Injection: Process Hollowing — Adversaries may inject malicious code into suspended and hollowed processes in order to evade process-based defenses.
PETPIPH,Privilege Escalation > T1055 > Process Injection: Process Hollowing — Adversaries may inject malicious code into suspended and hollowed processes in order to evade process-based defenses.
DETPIPSC,Defense Evasion > T1055 > Process Injection: Ptrace System Calls — Adversaries may inject malicious code into processes via ptrace (process trace) system calls in order to evade process-based defenses as well as possibly elevate privileges.
PETPIPSC,Privilege Escalation > T1055 > Process Injection: Ptrace System Calls — Adversaries may inject malicious code into processes via ptrace (process trace) system calls in order to evade process-based defenses as well as possibly elevate privileges.
DETPITEH,Defense Evasion > T1055 > Process Injection: Thread Execution Hijacking — Adversaries may inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges.
PETPITEH,Privilege Escalation > T1055 > Process Injection: Thread Execution Hijacking — Adversaries may inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges.
DETPITLS,Defense Evasion > T1055 > Process Injection: Thread Local Storage — Adversaries may inject malicious code into processes via thread local storage (TLS) callbacks in order to evade process-based defenses as well as possibly elevate privileges.
PETPITLS,Privilege Escalation > T1055 > Process Injection: Thread Local Storage — Adversaries may inject malicious code into processes via thread local storage (TLS) callbacks in order to evade process-based defenses as well as possibly elevate privileges.
DETPIVH,Defense Evasion > T1055 > Process Injection: VDSO Hijacking — Adversaries may inject malicious code into processes via VDSO hijacking in order to evade process-based defenses as well as possibly elevate privileges.
PETPIVH,Privilege Escalation > T1055 > Process Injection: VDSO Hijacking — Adversaries may inject malicious code into processes via VDSO hijacking in order to evade process-based defenses as well as possibly elevate privileges.
CACTPDF,Command and Control > T1090 > Proxy: Domain Fronting — Adversaries may take advantage of routing schemes in Content Delivery Networks (CDNs) and other services which host multiple domains to obfuscate the intended destination of HTTPS traffic or traffic tunneled through HTTPS.
CACTPEP,Command and Control > T1090 > Proxy: External Proxy — Adversaries may use an external proxy to act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure.
CACTPIP,Command and Control > T1090 > Proxy: Internal Proxy — Adversaries may use an internal proxy to direct command and control traffic between two or more systems in a compromised environment.
CACTPMHP,Command and Control > T1090 > Proxy: Multi-hop Proxy — Adversaries may chain together multiple proxies to disguise the source of malicious traffic.
